,UserID,cart,category,content,default,error,home,iroa,lorigreiner,mys,product,product-listing-category,product-listing-custom,product-listing-search,productNotFound,shoplive,signupcomplete,wishlist,conversion
0,4.143379332700367e+17,1,0,0,0,0,3,0,0,0,11,18,0,8,0,0,0,0,0
1,8.539336976943761e+17,0,0,1,1,0,2,4,0,0,4,0,0,0,0,0,0,0,0
2,8.875862595205689e+18,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
3,8.259742696794982e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,7.65582607985199e+18,0,0,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0
5,5.081785156232865e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,3.3168846521493883e+18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,6.532393689623542e+18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1.4619552366089329e+18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,9.08329526485673e+17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,5.537077584994768e+18,13,0,2,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0
11,6.077452394498288e+18,2,0,4,0,0,7,4,0,0,7,0,0,0,0,5,0,0,1
12,4.852841293096078e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.2274775310372186e+17,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
14,4.1830509335680425e+18,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
15,6.423268623290272e+18,6,0,0,0,0,2,0,0,0,37,16,0,0,0,0,0,0,1
16,8.372754138878548e+18,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
17,2.4858884809052083e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,4.90642803575438e+18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1.246632527058255e+18,0,0,1,2,0,0,0,0,0,3,5,0,0,0,0,0,0,0
20,4.076300730230752e+18,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0
21,1.7580781724158188e+18,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
22,7.628186256369185e+17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,1.454188762275093e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,8.079864865122662e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,7.604539157606194e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,8.447708354758937e+18,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
27,4.596698018749464e+18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,6.568247935512622e+18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29,4.168687081191481e+18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4.028820229753396e+18,0,0,1,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0
